Advice,Company,Target,Analyst,Date,Ticker
Sell,Indoco Remedies Ltd.,153.0,Angel Broking,14 Aug 2017,INDOCO
Sell,UPL Ltd.,820.0,Angel Broking,08 Aug 2017,
Buy,Lupin Ltd.,1467.0,Angel Broking,07 Aug 2017,LUPIN
Accumulate,Karur Vysya Bank Ltd.,160.0,Angel Broking,04 Aug 2017,
Neutral,Dr. Reddy's Laborato..,,Angel Broking,03 Aug 2017,
Neutral,GlaxoSmithKline Phar..,,Angel Broking,03 Aug 2017,
Buy,Tech Mahindra Ltd.,533.0,Angel Broking,02 Aug 2017,
Buy,Federal Bank Ltd.,140.0,Angel Broking,02 Aug 2017,
Accumulate,Alembic Pharmaceutic..,600.0,Angel Broking,01 Aug 2017,APLLTD
Buy,Syngene Internationa..,558.0,Angel Broking,31 Jul 2017,SYNGENE
Accumulate,Maruti Suzuki India ..,8501.0,Angel Broking,28 Jul 2017,MARUTI
Buy,HCL Technologies Ltd.,1014.0,Angel Broking,28 Jul 2017,
Accumulate,Hero MotoCorp Ltd.,4130.0,Angel Broking,27 Jul 2017,HEROMOTOCO
Neutral,Rallis India Ltd.,,Angel Broking,26 Jul 2017,
Buy,Ashok Leyland Ltd.,124.0,Angel Broking,25 Jul 2017,ASHOKLEY
Buy,Dewan Housing Financ..,550.0,Angel Broking,25 Jul 2017,DHFL
Neutral,Wipro Ltd.,,Angel Broking,25 Jul 2017,
Accumulate,Bajaj Auto Ltd.,3151.0,Angel Broking,24 Jul 2017,BAJAJ-AUTO
Buy,Music Broadcast Ltd.,434.0,Angel Broking,20 Jul 2017,
Accumulate,Tata Consultancy Ser..,2651.0,Angel Broking,18 Jul 2017,
Buy,Infosys Ltd.,1179.0,Angel Broking,17 Jul 2017,
Buy,L&T Finance Ltd.,179.0,Angel Broking,07 Jul 2017,
Buy,Syngene Internationa..,564.0,Angel Broking,06 Jul 2017,
Neutral,UPL Ltd.,740.0,Angel Broking,15 Jun 2017,UPL
Sell,Cipla Ltd.,461.0,Angel Broking,13 Jun 2017,CIPLA
Buy,Lupin Ltd.,1526.0,Angel Broking,12 Jun 2017,LUPIN
Buy,Sun Pharmaceutical I..,712.0,Angel Broking,12 Jun 2017,SUNPHARMA
Sell,Indoco Remedies Ltd.,150.0,Angel Broking,12 Jun 2017,INDOCO
Neutral,Zydus Lifesciences L..,495.0,Angel Broking,05 Jun 2017,
Buy,Aurobindo Pharma Ltd.,823.0,Angel Broking,02 Jun 2017,AUROPHARMA
Buy,Tech Mahindra Ltd.,533.0,Angel Broking,31 May 2017,TECHM
